threshold,balanced_accuracy,mcc,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
0.2,0.6158308535254273,0.4286939740594073,0.8377500180518449,0.9972494412927626,0.234412265758092,0.9105678295334144,688,2247,32,11602
0.21000000000000002,0.6193208591747328,0.4337049886669517,0.8390130960133131,0.9967337115351556,0.24190800681431004,0.9110980161068553,710,2225,38,11596
0.22000000000000003,0.6249825381108476,0.4427163104272293,0.8410624863923362,0.9961320268179474,0.25383304940374785,0.9120528863180262,745,2190,45,11589
0.23000000000000004,0.6303480311921323,0.4526547437989955,0.842997453619498,0.9959601168987451,0.2647359454855196,0.913117144095512,777,2158,47,11587
0.24000000000000005,0.6355001890423387,0.4617004203578831,0.8448690832178543,0.9957022520199416,0.27529812606473597,0.9141053462221346,808,2127,50,11584
0.25000000000000006,0.6412493751059793,0.4723673133059641,0.846958174904943,0.9956162970603404,0.2868824531516184,0.9152903990517582,842,2093,51,11583
0.26000000000000006,0.6475065300876038,0.48139209113213044,0.8492808922805988,0.9948427024239299,0.3001703577512777,0.9163169978624021,881,2054,60,11574
0.2700000000000001,0.6523179724352548,0.4894267812650971,0.8510591350397175,0.9945848375451264,0.3100511073253833,0.9172413793103448,910,2025,63,11571
0.2800000000000001,0.6578507189319679,0.4966901880945683,0.8531473691978452,0.9937252879491146,0.3219761499148211,0.9180861623982529,945,1990,73,11561
0.2900000000000001,0.6634279950764063,0.5053912506117553,0.8552397868561279,0.9932955131511089,0.3335604770017036,0.9191123836793128,979,1956,78,11556
0.3000000000000001,0.6676439613785476,0.5126614797516839,0.8568144742696129,0.9932095581915077,0.3420783645655877,0.919984076433121,1004,1931,79,11555
0.3100000000000001,0.6724522993903495,0.518235374583293,0.8586730139839334,0.9922640536358948,0.3526405451448041,0.9206475795517984,1035,1900,90,11544
0.3200000000000001,0.6792650572735321,0.5291333049587215,0.8612583028584223,0.9919202337974902,0.3666098807495741,0.9219829824631487,1076,1859,94,11540
0.3300000000000001,0.6844586404356144,0.5365925422041137,0.8632587381184043,0.9914045040398831,0.3775127768313458,0.9229045809161832,1108,1827,100,11534
0.34000000000000014,0.6890997250319878,0.5437994295011247,0.8650412603150788,0.9911466391610796,0.38705281090289606,0.9238102868130107,1136,1799,103,11531
0.35000000000000014,0.6937806827723125,0.5493021479462551,0.8668924003009781,0.990287089565068,0.39727427597955706,0.9244904509709517,1166,1769,113,11521
0.36000000000000015,0.6982897305934348,0.5535750442764498,0.8687150837988827,0.9890837201306515,0.40749574105621805,0.925,1196,1739,127,11507
0.37000000000000016,0.7013069839649338,0.5547109994462461,0.8699931854319679,0.9876224858174316,0.41499148211243614,0.925083531258806,1218,1717,144,11490
0.38000000000000017,0.7048368627581907,0.5577055278016424,0.8714502657555049,0.9865050713426164,0.4231686541737649,0.9254152556039349,1242,1693,157,11477
0.3900000000000002,0.7104969895263809,0.5647337672025011,0.8737331402880439,0.9855595667870036,0.4354344122657581,0.9262834753807004,1278,1657,168,11466
0.4000000000000002,0.7144504344459449,0.5672286374251503,0.8754206179259713,0.9839264225545814,0.44497444633730837,0.9265074868474302,1306,1629,187,11447
0.4100000000000002,0.7184484090132341,0.5709252709391993,0.8771001150747986,0.9827230531201651,0.45417376490630323,0.9269123191049495,1333,1602,201,11433
0.4200000000000002,0.7239796033420226,0.5771762919919357,0.8793993068925684,0.9815196836857487,0.46643952299829644,0.9276575003046428,1369,1566,215,11419
0.4300000000000002,0.7275094821352793,0.580370363654149,0.8809082483781279,0.9804022692109334,0.4746166950596252,0.9279960947034416,1393,1542,228,11406
0.4400000000000002,0.7313355467833662,0.5831202214596007,0.8825854452452918,0.9788550799381124,0.4838160136286201,0.9282308350654114,1420,1515,246,11388
0.45000000000000023,0.7373332847182625,0.5892675555968993,0.8851603861725319,0.9772219357056903,0.49744463373083475,0.9289157610915925,1460,1475,265,11369
0.46000000000000024,0.7405177915051899,0.5898525125545623,0.8866656245114898,0.975073061715661,0.5059625212947189,0.9287702636318979,1485,1450,290,11344
0.47000000000000025,0.7454949351003448,0.5951971229274032,0.8888278675662953,0.9737837373216435,0.517206132879046,0.9293683347005742,1518,1417,305,11329
0.48000000000000026,0.7511519575326856,0.6009557879935995,0.8913231933170462,0.9721505930892212,0.53015332197615,0.9299839657936932,1556,1379,324,11310
0.49000000000000027,0.7564713687983204,0.6075469673032731,0.8936254349889275,0.9712050885336084,0.5417376490630323,0.9308015487272427,1590,1345,335,11299
0.5000000000000002,0.7598293376723748,0.6100396167688911,0.8951836864238674,0.9697438542203886,0.5499148211243612,0.9309733052770558,1614,1321,352,11282
0.5100000000000002,0.7651026671223597,0.6151090979514298,0.8975850800988284,0.9680247550283652,0.5621805792163543,0.9314751250982176,1650,1285,372,11262
0.5200000000000002,0.7701626613412664,0.6197300116552645,0.8999279481226483,0.9662197008767406,0.5741056218057922,0.9318963730569948,1685,1250,393,11241
0.5300000000000002,0.7760728921486368,0.6251176394751029,0.9026961770623743,0.9640708268867114,0.5880749574105621,0.9323745791595661,1726,1209,418,11216
0.5400000000000003,0.7833874102781045,0.6323046552551211,0.9061310439782944,0.9616640880178786,0.6051107325383305,0.9330720153454818,1776,1159,446,11188
0.5500000000000003,0.7872595567418414,0.6369738109813216,0.9079022171688459,0.9608904933814681,0.6136286201022146,0.9336451330020462,1801,1134,455,11179
0.5600000000000003,0.7905745481360953,0.6395008986102785,0.9095428245456768,0.9593433041086471,0.6218057921635435,0.933779544028446,1825,1110,473,11161
0.5700000000000003,0.7935042943800685,0.6407812577917195,0.9110838445807771,0.9573663400378202,0.6296422487223169,0.9336518714112075,1848,1087,496,11138
0.5800000000000003,0.7980086856974169,0.6441347197171516,0.9133651158967615,0.9551315110881898,0.640885860306644,0.933781512605042,1881,1054,522,11112
0.5900000000000003,0.8024685473670399,0.6468380968209232,0.9157094455003719,0.9524669073405535,0.6524701873935264,0.9337265641457763,1915,1020,553,11081
0.6000000000000003,0.8094392456581031,0.652832306169041,0.9192675821889305,0.9493725287949115,0.6695059625212947,0.934077550847816,1965,970,589,11045
0.6100000000000003,0.8131301691950896,0.653849378590272,0.9214028626433414,0.9461921952896682,0.6800681431005111,0.9336330096263942,1996,939,626,11008
0.6200000000000003,0.8179276420314188,0.6564476009045089,0.9240943555181129,0.9428399518652226,0.693015332197615,0.9333730428863172,2034,901,665,10969
0.6300000000000003,0.821488080961079,0.6567519924280366,0.9263184670171274,0.9390579336427712,0.7039182282793867,0.9326446986511866,2066,869,709,10925
0.6400000000000003,0.8268810298429177,0.6603287296488095,0.9293826317137733,0.9355337802991233,0.7182282793867121,0.932448061683444,2108,827,750,10884
0.6500000000000004,0.830869691402659,0.6622460682458752,0.931786941580756,0.9322674918342788,0.7294718909710391,0.9320271547649738,2141,794,788,10846
0.6600000000000004,0.8335353640961302,0.661573847005891,0.9336964038727524,0.9283995186522263,0.7386712095400341,0.9310404275493492,2168,767,833,10801
0.6700000000000004,0.8367121100434343,0.6618315181991731,0.9358740102671191,0.9245315454701736,0.7488926746166951,0.9301682016690448,2198,737,878,10756
0.6800000000000004,0.8408234953708789,0.6630743406107946,0.9386234107847435,0.920147842530514,0.7614991482112436,0.9292938061547811,2235,700,929,10705
0.6900000000000004,0.8425881931564623,0.6599788881992146,0.940443580454184,0.9148186350352415,0.7703577512776831,0.9274541414317459,2261,674,991,10643
0.7000000000000004,0.84426538381452,0.6564912560999872,0.9423453929780787,0.908973697782362,0.779557069846678,0.9253587679383969,2288,647,1059,10575
0.7100000000000004,0.8458612760167505,0.6539946259671168,0.9440754039497307,0.9039883101254942,0.7877342419080068,0.923597084394485,2312,623,1117,10517
0.7200000000000004,0.8480096667846899,0.652290688279663,0.9461587186679938,0.8987450575898229,0.797274275979557,0.9218426272867534,2340,595,1178,10456
0.7300000000000004,0.8489546881182131,0.6468832011736959,0.9481434058898848,0.8910950661853189,0.8068143100511074,0.9187344913151365,2368,567,1267,10367
0.7400000000000004,0.8495589939491808,0.6413718056682599,0.9499953785007856,0.8834450747808148,0.8156729131175469,0.9155124036877031,2394,541,1356,10278
0.7500000000000004,0.8537055959168027,0.6428364186459488,0.9533949752498365,0.8774282276087331,0.8299829642248723,0.913835548990645,2436,499,1426,10208
0.7600000000000005,0.8543036930760718,0.6369841207678322,0.9556375331063186,0.8684029568506103,0.8402044293015333,0.9099342520039629,2466,469,1531,10103
0.7700000000000005,0.8540147848387751,0.6313626035748428,0.957099178291611,0.8610108303249098,0.8470187393526405,0.9065158371040724,2486,449,1617,10017
0.7800000000000005,0.8543581214550902,0.6260518476033181,0.9592646347363328,0.8521574694859894,0.8565587734241908,0.9025444945149984,2514,421,1720,9914
0.7900000000000005,0.8561948046889529,0.6237474884543707,0.962171697373579,0.8439057933642771,0.8684838160136287,0.8991665903471013,2549,386,1816,9818
0.8000000000000005,0.854825250784943,0.6154436408972984,0.9639908485029345,0.8329895134949287,0.8766609880749574,0.8937151288790519,2573,362,1943,9691
0.8100000000000005,0.8557625112788428,0.6119279357835159,0.9668045605892442,0.8236204228984012,0.8879045996592845,0.8894871199814343,2606,329,2052,9582
