importance_rank,descriptor,gain_importance,gain_importance_percent
1,fragCpx,934.2438354492188,13.937495513986159
2,piPC3,712.4473876953125,10.628630228188763
3,n6aRing,661.9370727539062,9.875093237958183
4,nRing,634.1573486328125,9.460662052408699
5,ETA_beta_ns,274.7093811035156,4.098245684371205
6,MDEC-23,129.6934356689453,1.9348285846170088
7,ETA_epsilon_3,119.13552856445312,1.777320686440526
8,C2SP2,93.0610580444336,1.3883292881428917
9,BalabanJ,61.368011474609375,0.9155172902140175
10,fMF,58.536014556884766,0.8732682082948093
11,naRing,48.476165771484375,0.7231905818789182
12,GATS2are,46.286197662353516,0.6905195922093875
13,C3SP2,35.30027770996094,0.5266263940489109
14,BCUTm-1l,32.17819595336914,0.48004968802668374
15,NaasC,30.59851837158203,0.45648330377634955
16,n9AHRing,29.225994110107422,0.4360073316465025
17,BCUTs-1l,28.40180206298828,0.4237116412458668
18,ETA_eta_BR,28.134634017944336,0.4197259008128138
19,nFRing,28.11763572692871,0.4194723121930272
20,AATS2p,27.462053298950195,0.4096920205793232
21,ATS1dv,26.630552291870117,0.39728729162493714
22,n5AHRing,25.51124382019043,0.3805889135239983
23,RotRatio,25.393272399902344,0.378828959560531
24,naHRing,23.465967178344727,0.35007650023429393
25,nS,22.393096923828125,0.3340709096250454
26,FilterItLogS,20.231990814208984,0.3018304970419836
27,GATS1se,19.95479393005371,0.29769514159963556
28,GATS1dv,19.88866424560547,0.2967085873989375
29,nBase,19.81508445739746,0.29561088899392096
30,AMID,19.732397079467773,0.2943773192177777
