rank,descriptor
1,piPC3
2,nS
3,BalabanJ
4,MWC05
5,MDEC-23
6,fMF
7,nRing
8,ETA_beta_ns
9,AXp-1d
10,ATS1dv
11,SMR_VSA7
12,TpiPC10
13,ETA_epsilon_3
14,VE3_A
15,AMID
16,ATS2dv
17,GATS1i
18,SpMAD_Dt
19,fragCpx
20,naRing
21,nC
22,AATS2d
23,IC5
24,AATS1d
25,ETA_eta_F
26,ETA_eta_RL
27,AATS2i
28,AATS8d
29,ABCGG
30,C2SP2
31,AETA_beta
32,LogEE_Dt
33,ETA_shape_y
34,NaaCH
35,TMPC10
36,SLogP
37,n6aRing
38,AXp-2d
39,WPol
40,AXp-0dv
41,NaasC
42,C3SP2
43,AATS5d
44,FilterItLogS
45,TSRW10
46,RotRatio
47,ATS8dv
48,ETA_dEpsilon_B
49,AATS7d
50,SpMAD_A
51,ATS0dv
52,AATS2p
53,ATS1s
54,AETA_eta_F
55,AATS6d
56,Mv
57,AXp-2dv
58,n6Ring
59,BCUTm-1l
60,VE2_A
61,AATS3d
62,ATS7dv
63,AMID_C
64,nBase
65,AXp-3d
66,ATS4dv
67,ETA_shape_p
68,GATS1p
69,Sm
70,AATS4d
71,ZMIC1
72,MDEC-33
73,SpMAD_D
74,ATSC1v
75,Xpc-6d
76,ATS6dv
77,Xch-7d
78,VE1_A
79,AXp-4d
80,IC3
81,Mp
82,AATS5v
83,SaasC
84,ATS5dv
85,AATS1p
86,GGI10
87,AXp-6dv
88,Mi
89,Xch-6d
90,AETA_eta_FL
91,Xpc-4d
92,AATS8dv
93,ATS8d
94,AATS3v
95,AXp-7d
96,AATS3i
97,AATS5p
98,AETA_eta_R
99,AATS8v
100,AXp-5d
