model,threshold,balanced_accuracy,mcc,roc_auc,average_precision,precision,recall,specificity,f1_score,true_negative,false_positive,false_negative,true_positive
Mordred XGBoost baseline - 626 features,0.2,0.7857609678967744,0.6663752082428731,0.9520174229385233,0.9868584696651257,0.9050990374671863,0.9779955303421007,0.5935264054514481,0.9401363354678786,1742,1193,256,11378
Mordred XGBoost baseline - 626 features,0.21,0.7883101254942411,0.66743702116148,0.9520174229385233,0.9868584696651257,0.9063497128270581,0.976620250988482,0.6,0.9401737691352917,1761,1174,272,11362
Mordred XGBoost baseline - 626 features,0.22,0.7935865592800753,0.673327393471487,0.9520174229385233,0.9868584696651257,0.9087269815852682,0.975588791473268,0.6115843270868825,0.9409716464931189,1795,1140,284,11350
Mordred XGBoost baseline - 626 features,0.23,0.7976228548233911,0.6752191548360647,0.9520174229385233,0.9868584696651257,0.9107358262967431,0.9734399174832388,0.6218057921635435,0.9410444970709211,1825,1110,309,11325
Mordred XGBoost baseline - 626 features,0.24,0.8011082039689227,0.677518642537595,0.9520174229385233,0.9868584696651257,0.9124435119431892,0.9718927282104177,0.6303236797274276,0.9412303338050445,1850,1085,327,11307
Mordred XGBoost baseline - 626 features,0.25,0.8029314009135533,0.6769127406085435,0.9520174229385233,0.9868584696651257,0.9134763253743424,0.9700876740587931,0.6357751277683135,0.9409312601609071,1866,1069,348,11286
Mordred XGBoost baseline - 626 features,0.26,0.8065886599782872,0.6802040750880245,0.9520174229385233,0.9868584696651257,0.9152322182526794,0.9688843046243768,0.6442930153321976,0.941294363256785,1891,1044,362,11272
Mordred XGBoost baseline - 626 features,0.27,0.8102013893952958,0.6826959502851465,0.9520174229385233,0.9868584696651257,0.9170401760247738,0.9672511603919546,0.6531516183986371,0.9414766785191383,1917,1018,381,11253
Mordred XGBoost baseline - 626 features,0.28,0.8124957864498084,0.6840176228395829,0.9520174229385233,0.9868584696651257,0.918218954248366,0.9660477909575382,0.6589437819420784,0.941526346653263,1934,1001,395,11239
Mordred XGBoost baseline - 626 features,0.29,0.8156818454046604,0.6856728055342709,0.9520174229385233,0.9868584696651257,0.9198851988519885,0.9642427368059137,0.6671209540034072,0.941541818792228,1958,977,416,11218
Mordred XGBoost baseline - 626 features,0.3,0.8185287410248818,0.6874566908042037,0.9520174229385233,0.9868584696651257,0.9213621781689562,0.9627815024926938,0.6742759795570699,0.9416165776974487,1979,956,433,11201
Mordred XGBoost baseline - 626 features,0.31,0.8218898142347857,0.6911706644756346,0.9520174229385233,0.9868584696651257,0.9229754247072406,0.9620079078562833,0.681771720613288,0.9420875420875421,2001,934,442,11192
Mordred XGBoost baseline - 626 features,0.32,0.8241396816415728,0.6918465031890562,0.9520174229385233,0.9868584696651257,0.9242286376044337,0.9603747636238611,0.6879045996592845,0.9419550647051385,2019,916,461,11173
Mordred XGBoost baseline - 626 features,0.33,0.8271999124928725,0.694180405765887,0.9520174229385233,0.9868584696651257,0.925815285038586,0.9589994842702424,0.6954003407155026,0.9421152628245725,2041,894,477,11157
Mordred XGBoost baseline - 626 features,0.34,0.8287652445586997,0.6928581807522701,0.9520174229385233,0.9868584696651257,0.9268820786142572,0.9566787003610109,0.7008517887563884,0.941544708569495,2057,878,504,11130
Mordred XGBoost baseline - 626 features,0.35,0.8316105880109964,0.6943047324707666,0.9520174229385233,0.9868584696651257,0.928458002507313,0.9548736462093863,0.7083475298126065,0.9414805712106445,2079,856,525,11109
Mordred XGBoost baseline - 626 features,0.36,0.8328352045742682,0.6926343286976622,0.9520174229385233,0.9868584696651257,0.9293861120429386,0.9525528623001547,0.7131175468483816,0.9408268953221836,2093,842,552,11082
Mordred XGBoost baseline - 626 features,0.37,0.8358509057778426,0.694450796987423,0.9520174229385233,0.9868584696651257,0.931060606060606,0.9507478081485302,0.720954003407155,0.9408012248022455,2116,819,573,11061
Mordred XGBoost baseline - 626 features,0.38,0.8388697113172663,0.6973031804291461,0.9520174229385233,0.9868584696651257,0.9326354887725815,0.9496303936737149,0.7281090289608178,0.9410562180579216,2137,798,586,11048
Mordred XGBoost baseline - 626 features,0.39,0.8414204210826577,0.6995998778388905,0.9520174229385233,0.9868584696651257,0.9339878131347326,0.9485989341585009,0.7342419080068143,0.9412366737739872,2155,780,598,11036
Mordred XGBoost baseline - 626 features,0.4,0.8442274435589278,0.7025283670974761,0.9520174229385233,0.9868584696651257,0.9354373462288963,0.9477393845624893,0.7407155025553662,0.9415481832543444,2174,761,608,11026
Mordred XGBoost baseline - 626 features,0.41,0.8453262320186471,0.7015157965308647,0.9520174229385233,0.9868584696651257,0.9362715902322811,0.9458483754512635,0.7448040885860306,0.9410356180784196,2186,749,630,11004
Mordred XGBoost baseline - 626 features,0.42,0.8460827528078865,0.6995809379979128,0.9520174229385233,0.9868584696651257,0.9370092181631956,0.9436135465016331,0.7485519591141397,0.9402997858672377,2197,738,656,10978
Mordred XGBoost baseline - 626 features,0.43,0.8470971384759293,0.698775428332026,0.9520174229385233,0.9868584696651257,0.9377834830979889,0.9418944473096098,0.7522998296422487,0.939834469745701,2208,727,676,10958
Mordred XGBoost baseline - 626 features,0.44,0.8499839072401019,0.700324899898773,0.9520174229385233,0.9868584696651257,0.9395085066162571,0.9398315282791817,0.7601362862010221,0.9396699896871777,2231,704,700,10934
Mordred XGBoost baseline - 626 features,0.45,0.8516797239132554,0.7006081555949071,0.9520174229385233,0.9868584696651257,0.940618805481341,0.9381124290871583,0.7652470187393526,0.9393639454318544,2246,689,720,10914
Mordred XGBoost baseline - 626 features,0.46,0.8526097067896218,0.7000135456091404,0.9520174229385233,0.9868584696651257,0.9413390928725702,0.9365652398143373,0.7686541737649063,0.938946098496273,2256,679,738,10896
Mordred XGBoost baseline - 626 features,0.47,0.8536686221053899,0.6999589322254888,0.9520174229385233,0.9868584696651257,0.9420779220779221,0.9352759154203197,0.77206132879046,0.9386645962732919,2266,669,753,10881
Mordred XGBoost baseline - 626 features,0.48,0.8551940810272658,0.7000838642211908,0.9520174229385233,0.9868584696651257,0.9431226120180618,0.9335568162282963,0.7768313458262351,0.9383153347732182,2280,655,773,10861
Mordred XGBoost baseline - 626 features,0.49,0.8579089398722362,0.7011698586747668,0.9520174229385233,0.9868584696651257,0.9448757086785871,0.9311500773594636,0.7846678023850086,0.937962682367202,2303,632,801,10833
Mordred XGBoost baseline - 626 features,0.5,0.8599055989039938,0.7027813756700175,0.9520174229385233,0.9868584696651257,0.9460522864387514,0.9300326628846485,0.789778534923339,0.9379740800138703,2318,617,814,10820
Mordred XGBoost baseline - 626 features,0.51,0.8613451028662684,0.7026785431395135,0.9520174229385233,0.9868584696651257,0.9471099026401193,0.9281416537734227,0.7945485519591141,0.9375298458866942,2332,603,836,10798
Mordred XGBoost baseline - 626 features,0.52,0.8625712715974648,0.7022002733154141,0.9520174229385233,0.9868584696651257,0.9480862296524417,0.9261646897025958,0.7989778534923339,0.9369972607504674,2345,590,859,10775
Mordred XGBoost baseline - 626 features,0.53,0.8636286347453083,0.7019010362003326,0.9520174229385233,0.9868584696651257,0.948919276576974,0.9245315454701736,0.802725724020443,0.9365666768252863,2356,579,878,10756
Mordred XGBoost baseline - 626 features,0.54,0.8645969385977013,0.7005433023290522,0.9520174229385233,0.9868584696651257,0.949880456920216,0.9220388516417397,0.8071550255536627,0.9357526060976141,2369,566,907,10727
Mordred XGBoost baseline - 626 features,0.55,0.8652245269475387,0.6987423932648038,0.9520174229385233,0.9868584696651257,0.9506798187150093,0.9195461578133058,0.8109028960817717,0.9348538471621445,2380,555,936,10698
Mordred XGBoost baseline - 626 features,0.56,0.8662818900953821,0.6985485169952289,0.9520174229385233,0.9868584696651257,0.9515281119130358,0.9179130135808836,0.8146507666098808,0.9344183401146258,2391,544,955,10679
Mordred XGBoost baseline - 626 features,0.57,0.867164238988174,0.6970398799755091,0.9520174229385233,0.9868584696651257,0.9525002236335988,0.9152484098332474,0.8190800681431005,0.9335028273352913,2404,531,986,10648
Mordred XGBoost baseline - 626 features,0.58,0.8686451682623246,0.6970067152379374,0.9520174229385233,0.9868584696651257,0.9536762725558847,0.9130995358432181,0.824190800681431,0.9329469108154393,2419,516,1011,10623
Mordred XGBoost baseline - 626 features,0.59,0.8687616833583292,0.6946512710020442,0.9520174229385233,0.9868584696651257,0.9542424788326428,0.9106068420147843,0.8269165247018739,0.9319141449683321,2427,508,1040,10594
