,training_median
MINdssC,-0.040021144
MAXdssC,0.027018718
MAXdO,12.530592
MINdO,12.3236475
MINssCH2,0.5240576
MAXssCH2,0.89751107
Vabc,313.96948
MINaasC,0.61935467
MAXaasC,0.9969687
MINaaCH,1.7509862
MAXaaCH,1.9526554
MDEC-33,3.4996426
MATS8c,-0.02956113
GATS8c,0.9588311
AATSC8c,-0.00045811772
ATSC6c,0.020078937
ATSC5c,-0.05812065
ATSC3c,0.10943883
BCUTc-1h,0.41699597
ATSC2c,-0.042657733
ATSC1c,-0.40505725
ATSC0c,0.7827728
ATSC7c,0.024106763
MATS3c,0.060900915
MATS4c,-0.039719872
MATS5c,-0.032300975
MATS6c,0.012522707
MATS7c,0.015862057
MATS2c,-0.030984461
MATS1c,-0.49291807
GATS7c,0.86456966
GATS6c,0.853221
GATS5c,1.0141884
GATS4c,1.1098516
BCUTc-1l,-0.40892327
GATS2c,1.2016389
GATS1c,1.5653052
AATSC0c,0.01664117
AATSC1c,-0.008194617
AATSC2c,-0.00048440287
AATSC3c,0.0009290057
AATSC4c,-0.0006117264
AATSC5c,-0.00050235126
AATSC6c,0.00019710256
AATSC7c,0.00025227774
ATSC8c,-0.036314473
GATS3c,1.053843
RNCG,0.18017627
RPCG,0.12970547
ATSC4c,-0.077752694
AATS8v,154.24875
AATSC8m,-0.07782798
GATS8are,0.9279767
AATSC8s,-0.013468908
AATSC8i,-0.05247615
GATS8v,0.99817276
AATS8m,47.688046
GATS8pe,0.9357778
GATS8dv,0.9685105
AATS8dv,2.8395061
AATSC8p,-0.004880514
MATS8se,-0.014016162
AATSC8Z,-0.014296406
AATS8Z,13.688312
AATS8d,2.511111
AATSC8pe,-4.267059e-05
GATS8d,0.9794333
MATS8Z,-0.0018748767
AATSC8are,-0.0004774792
GATS8se,0.92639416
AATS8s,2.6334343
MATS8v,-0.01414291
MATS8s,-0.010602133
AATS8pe,6.0085106
GATS8s,0.9013376
MATS8m,-0.002175869
GATS8Z,0.9809543
AATS8p,1.1827265
AATSC8v,-0.7024431
GATS8i,0.9825526
AATSC8dv,-0.009546926
GATS8p,0.9947747
MATS8dv,-0.0024954197
MATS8d,-0.0214421
MATS8p,-0.020916384
MATS8are,-0.0044621658
AATS8se,7.524931
AATSC8d,-0.011875
AATS8i,163.37831
MATS8i,-0.033453114
GATS8m,0.9821649
MATS8pe,-0.00042148322
AATSC8se,-0.0008585601
AATS8are,5.9324794
AETA_eta_RL,0.48529705
ETA_eta_RL,12.024878
AETA_eta_R,1.6808268
ETA_eta_R,41.60524
ETA_epsilon_3,0.44153845
ETA_eta_F,20.873684
ETA_dAlpha_B,0.027777778
AETA_eta_F,0.8536383
ETA_eta_FL,5.7955213
ETA_dAlpha_A,0.0
AETA_eta_FL,0.2366049
ETA_eta_B,0.28318328
AETA_eta_BR,0.022549303
AETA_eta_B,0.011218186
ETA_eta_BR,0.55802
ETA_dEpsilon_A,0.1375
ETA_dEpsilon_C,-0.09116594
NsCH3,1.0
NaaO,0.0
NdO,1.0
NsOH,0.0
NssssN,0.0
NaasN,0.0
NddsN,0.0
NdCH2,0.0
NssCH2,5.0
NsssN,1.0
NaaN,1.0
NdsN,0.0
NtN,0.0
NssNH,1.0
NdNH,0.0
NsNH2,0.0
NssssC,0.0
NaaaC,0.0
NaasC,3.0
NdssC,1.0
NtsC,0.0
NsssCH,0.0
NaaCH,6.0
NdsCH,0.0
NtCH,0.0
NaaNH,0.0
LogEE_Dt,219.27338
SpMAD_Dt,17.72765
SpAD_Dt,438.55707
SpDiam_Dt,315.69
SpMax_Dt,219.27338
SpAbs_Dt,438.55707
Mi,1.1323773
Mp,0.66488314
Mare,0.9798261
Mpe,0.9669088
Mse,1.0018802
NssO,0.0
Mm,0.60274875
MZ,0.6415094
Si,53.316097
Sp,31.39463
Sare,46.192
Spe,45.533333
Sse,47.2622
Sv,29.332243
Sm,28.510782
SZ,30.333334
AXp-6dv,0.016781066
Mv,0.62278014
