descriptor,missing_count_train,missing_percent_train
MAXsssdAs,67502,100.0
MAXsssssAs,67502,100.0
MAXsSeH,67502,100.0
MAXdssSe,67502,100.0
MAXddssSe,67502,100.0
MAXsSnH3,67502,100.0
MAXssSnH2,67502,100.0
MAXsssSnH,67502,100.0
MAXssssSn,67502,100.0
MAXsPbH3,67502,100.0
MAXssPbH2,67502,100.0
MINssSiH2,67502,100.0
MAXssssPb,67502,100.0
MINsLi,67502,100.0
MINssBe,67502,100.0
MINssssBe,67502,100.0
MINssBH,67502,100.0
MINssssB,67502,100.0
MINddC,67502,100.0
MINsNH3,67502,100.0
MINssNH2,67502,100.0
MINsssNH,67502,100.0
MINsSiH3,67502,100.0
MAXsssPbH,67502,100.0
MAXssBe,67502,100.0
MAXssssBe,67502,100.0
MAXssBH,67502,100.0
MAXssssB,67502,100.0
MAXddC,67502,100.0
MINssAsH,67502,100.0
MAXsNH3,67502,100.0
MAXssNH2,67502,100.0
MAXsssNH,67502,100.0
MAXsSiH3,67502,100.0
MAXssSiH2,67502,100.0
MAXsssAs,67502,100.0
MAXsPH2,67502,100.0
MAXssPH,67502,100.0
MAXsssP,67502,100.0
MAXsssssP,67502,100.0
MAXdssS,67502,100.0
MAXsGeH3,67502,100.0
MAXssGeH2,67502,100.0
MAXsssGeH,67502,100.0
MAXssssGe,67502,100.0
MAXsAsH2,67502,100.0
MAXssAsH,67502,100.0
MAXsssSiH,67502,100.0
MINdssSe,67502,100.0
MINssssPb,67502,100.0
MINsssP,67502,100.0
MINsAsH2,67502,100.0
MINssssGe,67502,100.0
MINsssGeH,67502,100.0
MINssGeH2,67502,100.0
MINsssssP,67502,100.0
MINssPH,67502,100.0
MINsGeH3,67502,100.0
MINddssSe,67502,100.0
MINsPbH3,67502,100.0
MINdssS,67502,100.0
MINsSnH3,67502,100.0
MINssSnH2,67502,100.0
MINsssSnH,67502,100.0
MINssssSn,67502,100.0
MINsssAs,67502,100.0
MINsSeH,67502,100.0
MINsPH2,67502,100.0
MINsssSiH,67502,100.0
MAXsLi,67502,100.0
MINsssPbH,67502,100.0
MINssPbH2,67502,100.0
MINsssdAs,67502,100.0
MINsssssAs,67502,100.0
MAXaaSe,67501,99.99851856241297
MINaaSe,67501,99.99851856241297
MINdSe,67501,99.99851856241297
MAXdSe,67501,99.99851856241297
MAXsssB,67500,99.99703712482592
MINsssB,67500,99.99703712482592
MAXssssN,67499,99.9955556872389
MAXssSe,67499,99.9955556872389
MINssssN,67499,99.9955556872389
MINssSe,67499,99.9955556872389
MINdsssP,67484,99.97333412343337
MAXdsssP,67484,99.97333412343337
MAXssssSi,67464,99.94370537169269
MINssssSi,67464,99.94370537169269
MINsSH,67458,99.93481674617048
MAXsSH,67458,99.93481674617048
MAXsI,67349,99.77334004918373
MINsI,67349,99.77334004918373
MAXdNH,67333,99.74963704779117
MINdNH,67333,99.74963704779117
MDEN-11,67182,99.52593997214898
MAXtCH,67140,99.46371959349352
MINtCH,67140,99.46371959349352
MAXdsN,67038,99.312612959616
MINdsN,67038,99.312612959616
MAXddsN,67016,99.28002133270125
MINddsN,67016,99.28002133270125
MDEC-44,66932,99.15558057539036
MAXdS,66801,98.96151225148884
MINdS,66801,98.96151225148884
MAXdCH2,66538,98.57189416609879
MINdCH2,66538,98.57189416609879
MINsBr,66128,97.96450475541465
MAXsBr,66128,97.96450475541465
MINtN,66065,97.87117418743149
MAXtN,66065,97.87117418743149
MAXtsC,65550,97.10823383010873
MINtsC,65550,97.10823383010873
MAXssS,65254,96.66972830434653
MINssS,65254,96.66972830434653
MAXdsCH,65021,96.32455334656751
MINdsCH,65021,96.32455334656751
MDEO-22,64815,96.01937720363841
MAXaaO,64495,95.54531717578737
MINaaO,64495,95.54531717578737
MINddssS,64450,95.47865248437083
MAXddssS,64450,95.47865248437083
MINaaS,64196,95.10236733726408
MAXaaS,64196,95.10236733726408
MAXsCl,63268,93.7275932564961
MINsCl,63268,93.7275932564961
MAXsNH2,62401,92.44318686853723
MINsNH2,62401,92.44318686853723
MDEN-12,62025,91.88616633581226
MDEN-13,61627,91.29655417617256
MDEC-14,60635,89.82696808983438
MINsF,59238,87.75739978074724
MAXsF,59238,87.75739978074724
MINaasN,58576,86.77668809813042
MAXaasN,58576,86.77668809813042
MINsOH,57695,85.47154158395307
MAXsOH,57695,85.47154158395307
MAXssssC,57149,84.66267666143226
MDEC-34,57149,84.66267666143226
MDEC-24,57149,84.66267666143226
MINssssC,57149,84.66267666143226
MAXssO,51676,76.55476874759266
MINssO,51676,76.55476874759266
MDEC-11,50071,74.17706142040235
MDEO-12,49364,73.12968504636899
MAXaaaC,48078,71.22455630944269
MINaaaC,48078,71.22455630944269
MAXaaNH,47441,70.28088056650174
MINaaNH,47441,70.28088056650174
MAXsssCH,37421,55.436875944416464
MINsssCH,37421,55.436875944416464
MDEN-33,35153,52.07697549702232
MAXaaN,33038,48.943735000444434
MINaaN,33038,48.943735000444434
MAXsCH3,29129,43.15279547272674
MINsCH3,29129,43.15279547272674
MDEO-11,28733,42.56614618826109
MDEC-12,28398,42.069864596604546
MDEC-13,28398,42.069864596604546
MDEN-22,26278,38.92921691209149
MAXssNH,22775,33.73974104470979
MINssNH,22775,33.73974104470979
MDEN-23,11724,17.36837427039199
MINsssN,5437,8.054576160706349
MAXsssN,5437,8.054576160706349
MINdssC,1266,1.875499985185624
MAXdssC,1266,1.875499985185624
MAXdO,1029,1.5243992770584576
MINdO,1029,1.5243992770584576
MINssCH2,180,0.2666587656662025
MAXssCH2,180,0.2666587656662025
Vabc,153,0.22665995081627208
MINaasC,107,0.15851382181268703
MAXaasC,107,0.15851382181268703
MINaaCH,77,0.11407069420165329
MAXaaCH,77,0.11407069420165329
MDEC-33,12,0.017777251044413498
MATS8c,7,0.010370063109241209
GATS8c,7,0.010370063109241209
AATSC8c,7,0.010370063109241209
ATSC6c,5,0.007407187935172291
ATSC5c,5,0.007407187935172291
ATSC3c,5,0.007407187935172291
BCUTc-1h,5,0.007407187935172291
ATSC2c,5,0.007407187935172291
ATSC1c,5,0.007407187935172291
ATSC0c,5,0.007407187935172291
ATSC7c,5,0.007407187935172291
MATS3c,5,0.007407187935172291
MATS4c,5,0.007407187935172291
MATS5c,5,0.007407187935172291
MATS6c,5,0.007407187935172291
MATS7c,5,0.007407187935172291
