descriptor,mean_abs_shap
ATS4Z,0.2999207530524582
SpMAD_D,0.26947291172202675
AETA_eta_RL,0.25341792553599224
RotRatio,0.22304557641013525
AATS4Z,0.19254914657620248
nRing,0.18406456533819437
fragCpx,0.1822852559001185
AETA_beta,0.166617909580993
Mv,0.16462118303752504
BIC0,0.1495124586454185
FilterItLogS,0.14679522072221152
AETA_beta_s,0.14518979694068548
CIC0,0.13988333187645186
ETA_dPsi_A,0.13825216944952262
AATS1d,0.13670136955782072
AATS1i,0.11752914328653423
AXp-2d,0.11742926154244925
PEOE_VSA6,0.11198247837385861
AETA_eta_F,0.11030816547441645
GATS1i,0.11003514975536381
TIC0,0.10941181146213785
Xc-3dv,0.10220477018209931
SpMAD_A,0.09986291429844277
NaaCH,0.09843228857312351
SpMAD_Dt,0.09041315394244157
SpMax_A,0.09026283811786562
ATS8dv,0.08884507680342722
NaaaC,0.08802574736019596
C3SP2,0.08776938157335826
ATSC0d,0.08247335827990901
AMID_C,0.08160985909345618
AMID,0.07831263053641305
MDEC-33,0.07756890747178113
VR3_A,0.07433358997874893
TpiPC10,0.07210475906054489
PEOE_VSA7,0.07203271592878445
AXp-6d,0.06977230927653727
AATS3dv,0.06720822312269592
Xp-7dv,0.06691420322016348
Xpc-4dv,0.0654135906669544
GGI3,0.06344494716409826
SMR_VSA6,0.06194115559675265
AATS4dv,0.061809130189736605
GATS1p,0.0606960241467159
AATS8dv,0.06053356235566025
AATS5v,0.05802491982592619
AXp-5d,0.05725325979891931
ATS4s,0.056337612625269685
BCUTare-1l,0.05484208328893874
Mm,0.05417896098637721
C2SP2,0.05316826142145874
GATS2d,0.052975594133953564
Kier3,0.05260550514550414
AATSC0p,0.05115511586153298
MIC5,0.050683778589373105
SpDiam_A,0.04842595908392104
mZagreb1,0.04691614419165853
JGI1,0.04626379989059205
Xc-5d,0.04525148701298894
ATSC0i,0.04515397383988602
JGI2,0.04407307615221362
AATS1Z,0.0437321636560373
VE2_A,0.042612270014768
IC5,0.04202555779127499
ATS5dv,0.039502768534205646
n6Ring,0.037823415526247114
AATS6v,0.0369208345611587
GGI5,0.03677157270362659
GGI6,0.03655855411758967
AATS3d,0.036359036297755665
LogEE_Dt,0.035227338788222366
AATS6p,0.0346180751107604
AXp-4d,0.03409787089419115
SMR_VSA7,0.03344548708515686
NaasC,0.03250320277447463
SlogP_VSA2,0.032472696052699576
BCUTp-1h,0.03221964527736418
AATS4p,0.03162239778818912
AATS8v,0.030617967042555393
n6aRing,0.030053873328295594
ATS6dv,0.03002547340502497
Radius,0.029351585003634682
PEOE_VSA8,0.02800081057584248
BCUTd-1h,0.027836946912994306
ATSC0pe,0.0278181935724715
GGI10,0.027313862340932245
ETA_dEpsilon_B,0.026680317584359726
AATS3p,0.02650981287590548
AXp-6dv,0.026343423827696826
Xch-6d,0.026247855295223416
GGI8,0.026117860967369778
ATSC0p,0.025847821930103237
VSA_EState4,0.024767072226610252
GGI7,0.022980565353122075
EState_VSA7,0.020564214251440716
SRW09,0.019868276537396014
ETA_dEpsilon_D,0.019783327374083455
AATSC0i,0.01922208433257765
AATS2d,0.01787463137205759
BCUTdv-1l,0.0177458820797583
