descriptor,mean_abs_shap
AETA_eta_RL,0.3614350044094608
ATS4Z,0.2621486932984553
AMID_C,0.21364584534923778
AATS4Z,0.20515831715817331
nRing,0.20289675375074148
RotRatio,0.1919524229262024
fragCpx,0.18849326900113375
AETA_beta,0.18074597202115184
AETA_beta_s,0.1754283423565794
ETA_dPsi_A,0.16436657897790427
AATS1d,0.15743944351235403
NaaCH,0.1500314785701921
PEOE_VSA6,0.13526273497287183
JGI1,0.1327743107933202
TpiPC10,0.12986210755351932
Mv,0.12825827332492917
AATS1i,0.12407563084416325
ATSC0d,0.12306520444032504
SpMAD_D,0.11398356535157654
BIC0,0.11065089568658731
FilterItLogS,0.10943336241150974
AMID,0.1048963202459272
AATS2d,0.10217486255720723
GATS1i,0.1017783792882692
AXp-4d,0.10162197727442253
CIC0,0.10118581537271894
C3SP2,0.09660494464387148
GATS1p,0.09508726619221852
AETA_eta_F,0.09152459840729717
AATS4dv,0.08977083572154515
SpMAD_A,0.0890074597686471
ATS4s,0.07993221148173325
PEOE_VSA7,0.0778218465653481
SpDiam_A,0.07750203168581356
AXp-5d,0.07728185996360117
NaaaC,0.07639615960489027
Mm,0.07100671921955655
LogEE_Dt,0.07023071008728585
AATS3dv,0.06982329311188369
AXp-6d,0.0692552460936422
GATS2d,0.06911054790978233
Xpc-4dv,0.06841247145406669
MDEC-33,0.06817001143374364
ATS8dv,0.06411837945575825
AATS3d,0.061644774503041844
Kier3,0.056901995732307115
mZagreb1,0.05622476632508915
VR3_A,0.05609771299635759
TIC0,0.056000981203716944
Xp-7dv,0.055714215629326644
AXp-2d,0.055391106170165585
AATS8dv,0.05465315502952944
SMR_VSA6,0.05456747049785918
Xc-3dv,0.0537733586630784
Xch-6d,0.0531564717477886
ETA_dEpsilon_B,0.053048717474739535
ATSC0pe,0.05300940341010028
GGI3,0.052530701799376404
AATS6p,0.05249448760782252
NaasC,0.0515488729380304
MIC5,0.05141170234011952
AATS3p,0.0489698291691966
JGI2,0.04769567482496495
C2SP2,0.046706115122215126
SpMax_A,0.04632621698138246
AATS6v,0.04424450260802405
SMR_VSA7,0.04389037555133109
IC5,0.04344305391141097
ATSC0p,0.04335220483102603
SpMAD_Dt,0.041042689817579234
AATSC0p,0.040808817562035984
AATS8v,0.040334844456483554
BCUTd-1h,0.04026286876197992
n6aRing,0.039063130544032904
ATS5dv,0.03747760516042763
AATS1Z,0.03660329393969994
n6Ring,0.03590766930159589
BCUTare-1l,0.035024314566282556
GGI5,0.034309346652509704
ATSC0i,0.034306812652157535
PEOE_VSA8,0.03302021310231067
AATS5v,0.03231173663594382
GGI6,0.03225935783075874
Radius,0.03177421261906147
BCUTp-1h,0.03152978501146208
AATS4p,0.031274826045308145
SlogP_VSA2,0.031163603135217273
GGI7,0.02706566239376116
ATS6dv,0.026894724377539207
AXp-6dv,0.02676871742669755
GGI8,0.026717043997254223
VE2_A,0.02551161801031776
BCUTdv-1l,0.025199759953087777
Xc-5d,0.024102970189114784
GGI10,0.022276377412170405
VSA_EState4,0.021594692291517278
ETA_dEpsilon_D,0.021277899021530176
EState_VSA7,0.020896701442023186
SRW09,0.01856875520437825
AATSC0i,0.014730509534856537
