descriptor,jnk3_score_mutual_information,jnk3_score_rank,gsk3b_score_mutual_information,gsk3b_score_rank,mean_rank
fragCpx,0.37089548047610155,1.0,0.4103009689030346,1.0,1.0
SpMAD_Dt,0.3278009499337813,2.0,0.3721758727281177,2.0,2.0
LogEE_Dt,0.31533687105272623,4.0,0.3674631301978373,3.0,3.5
nRing,0.3193112690916653,3.0,0.3601833378305104,4.0,3.5
RotRatio,0.28581747745293207,6.0,0.3529827476335168,5.0,5.5
TpiPC10,0.2908966537460751,5.0,0.32457614462361395,6.0,5.5
AMID,0.2644613683521797,8.0,0.2944075534028938,7.0,7.5
SMR_VSA7,0.2649442657161183,7.0,0.24654556535089522,10.0,8.5
mZagreb1,0.23831497290778003,9.0,0.2725109548631597,8.0,8.5
MDEC-33,0.23480219129511326,10.0,0.26092538416336364,9.0,9.5
AATS2d,0.2196978928417952,12.0,0.2370070108745308,13.0,12.5
AATS1d,0.21672145350908245,14.0,0.23814791158231685,12.0,13.0
n6aRing,0.23128619251492988,11.0,0.22518583548795235,17.0,14.0
ATS8dv,0.2112404193875843,16.0,0.2286454615977167,16.0,16.0
Kier3,0.20849343196446668,17.0,0.23487791386277035,15.0,16.0
C2SP2,0.21826622920668282,13.0,0.20691967947654133,20.0,16.5
BCUTp-1h,0.21241198275716133,15.0,0.20746277295220317,19.0,17.0
ATS6dv,0.1902032539348797,21.0,0.23503151145610346,14.0,17.5
ATS5dv,0.17834089496960281,25.0,0.24322367131892708,11.0,18.0
AATS3d,0.18337413730974017,22.0,0.21770810539953622,18.0,20.0
AETA_beta,0.19712836328759842,19.0,0.2017973421600079,22.0,20.5
Xch-6d,0.19399952068266302,20.0,0.2063578323347537,21.0,20.5
NaaCH,0.20707673437357377,18.0,0.1820303040546727,26.0,22.0
n6Ring,0.1783938200844517,24.0,0.19194853543739288,24.0,24.0
AETA_eta_F,0.16939870374125743,29.0,0.19632624476183747,23.0,26.0
JGI1,0.17334316450418008,27.0,0.19098008403029176,25.0,26.0
ETA_dEpsilon_B,0.17568664933476796,26.0,0.17465736981193114,29.0,27.5
Mv,0.17017493054715604,28.0,0.17733238302864596,27.0,27.5
C3SP2,0.1803581708764983,23.0,0.16441201934997185,35.0,29.0
FilterItLogS,0.16761467352017423,31.0,0.17115024327981843,30.0,30.5
AXp-2d,0.15953892123701952,34.0,0.1749330093204593,28.0,31.0
BCUTare-1l,0.16719853005691832,32.0,0.16745979684128365,31.0,31.5
IC5,0.1678935749178363,30.0,0.1668315748493585,34.0,32.0
JGI2,0.14791850175653476,35.0,0.1673708123227291,33.0,34.0
AXp-4d,0.14061777690320731,37.0,0.167436585448538,32.0,34.5
GATS1p,0.16079144940421664,33.0,0.14507238717222481,40.0,36.5
Xc-5d,0.14095255177886568,36.0,0.15230734777833632,37.0,36.5
BCUTd-1h,0.13192442406630178,38.0,0.1488898073481728,39.0,38.5
ATS4Z,0.12159712326286787,44.0,0.16048118412920065,36.0,40.0
ATSC0d,0.1256008744114192,42.0,0.14966572711126513,38.0,40.0
GGI8,0.1313023469751391,39.0,0.14058235305950895,43.0,41.0
ATSC0i,0.12524950539861557,43.0,0.14333796521499398,41.0,42.0
SpDiam_A,0.11751382157343038,49.0,0.14126294994347433,42.0,45.5
AXp-5d,0.119194596169649,48.0,0.13796989773865054,45.0,46.5
NaasC,0.12962269824953987,41.0,0.12907688245103666,52.0,46.5
AATS3p,0.12054988610003292,47.0,0.13142414057229335,48.0,47.5
AETA_beta_s,0.11575342061443106,51.0,0.1385500065664198,44.0,47.5
GATS1i,0.13007281595350495,40.0,0.11320871478993588,62.0,51.0
MIC5,0.11484270090522664,53.0,0.1311961442653633,49.0,51.0
SpMax_A,0.10900414094559174,56.0,0.13469073699365364,47.0,51.5
VE2_A,0.11726995226933212,50.0,0.12748575010037744,53.0,51.5
AXp-6d,0.11061843323841813,54.0,0.1310891315883742,50.0,52.0
GGI6,0.10810647679455965,58.0,0.13526966535025764,46.0,52.0
SpMAD_A,0.12070832359404182,46.0,0.11860406507233634,59.0,52.5
GGI10,0.12079236764615331,45.0,0.1084806330999113,63.0,54.0
Mm,0.1156081901251298,52.0,0.1196224096056282,58.0,55.0
AATS4p,0.11050219202459388,55.0,0.12101302862386643,57.0,56.0
GGI3,0.09916846591651396,64.0,0.13025821010718275,51.0,57.5
AATS5v,0.10266648861276106,61.0,0.12317666969195429,55.0,58.0
VR3_A,0.10831564867837784,57.0,0.11601149327935456,61.0,59.0
GGI7,0.10069403459002224,63.0,0.12295181975127889,56.0,59.5
ETA_dEpsilon_D,0.10507795451598145,60.0,0.11628752945644738,60.0,60.0
GGI5,0.09436984108385449,70.0,0.1244792312747105,54.0,62.0
PEOE_VSA7,0.10579497332054899,59.0,0.09354657653668941,71.0,65.0
TIC0,0.09704663637518074,66.0,0.10667103014400503,64.0,65.0
PEOE_VSA6,0.10129163738528124,62.0,0.09431418168552153,70.0,66.0
Xp-7dv,0.09518239723912814,68.0,0.1026039219192425,66.0,67.0
NaaaC,0.08767714939761007,74.0,0.09851393298951394,68.0,71.0
AATS3dv,0.08365591620852708,78.0,0.10309791292787374,65.0,71.5
AATS4dv,0.08628316133885328,76.0,0.10218716786975879,67.0,71.5
AATSC0p,0.09861453833441569,65.0,0.08619243143998556,79.0,72.0
AETA_eta_RL,0.08790729122934682,73.0,0.09245777900431928,72.0,72.5
ATSC0p,0.09509411629144182,69.0,0.08820157727592903,76.0,72.5
SpMAD_D,0.0928556307076791,71.0,0.0887493531024468,74.0,72.5
VSA_EState4,0.0955869539694163,67.0,0.08268836647671307,82.0,74.5
AATS6v,0.07973669886815671,81.0,0.09521190823674353,69.0,75.0
AXp-6dv,0.08516184526814641,77.0,0.09000744037912423,73.0,75.0
AATS8dv,0.08856392102824628,72.0,0.08337446336132004,80.0,76.0
ATSC0pe,0.08299160353832047,79.0,0.08761137336346447,77.0,78.0
AATSC0i,0.0784716830556107,82.0,0.08869397368364584,75.0,78.5
CIC0,0.08065380467226202,80.0,0.08692424674640353,78.0,79.0
SMR_VSA6,0.08688687979643639,75.0,0.07578859246893899,84.0,79.5
AATS6p,0.07338371242319663,86.0,0.08195749344050984,83.0,84.5
Xpc-4dv,0.07012748016609915,88.0,0.0745990827796561,86.0,87.0
ATS4s,0.06399545032469423,95.0,0.08313423532806308,81.0,88.0
BIC0,0.07482532634492589,84.0,0.0656495954540004,93.0,88.5
